您好，我想问一下笔记本开不开机，是怎么回事 g470 您好，是一开机屏幕没有任何显示，还是屏幕上会有反应但是无法进入系统呢？ 没有任何反应 就是电源适配器那个指示灯，一闪一闪的 其余的没有反应 这个笔记本放很长时间啦，是不是坏了
我的是联想E450c我想装W7怎么装
电脑开不了机 麻烦您查询一下所咨询电脑的主机编号，这样我们能更清楚您电脑的情况，笔记本的主机编号一般在 ?笔记本背面 的标签上， 写的是S/N号码 Cb36408339 您好，是一开机屏幕连“Lenovo”图标都看不到，还是屏幕上会有反应但是无法进入系统呢？ 什么都看不见 开机键亮一会就灭了
我电脑y410p 在售后装过固态硬盘 但是最近玩lol 帧数很低 我基本什么方法都试过了 切换独立显卡 最好性能优先什么的 而且我玩lol还把画质调到很低 但是帧数还是大概50多 有点卡
笔记本电脑摄像头不能用了 打不开
装系统怎么装
你好，笔记本是联想Y700，系统win10，CAD打不开，闪退(#?Д?)
无法上网 什么型号的机器 不知道 一体机  有线无线 有线 可以看图片吗 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjvX10ZFQQNu-FaQTEQ6kEfk/3088066_65056_1485946576.jpg  请您提供一下电脑的主机编号，台式机或一体机主机编号在电脑背面或者侧面的贴纸，叫做出厂编号的或者叫做主机号的，主机编号查询方法如下：http://support1.lenovo.com.cn/lenovo/wsi/htmls/Machine_No.html（*∩_∩*） 就有个黄色的三角形
700s用电池呢，接上电源，然后直接黑屏了 之后连续启动，指示灯亮了几秒钟，屏幕没亮，然后又黑了[皱眉] 等了几分钟重试就可以启动了
产品密钥在哪啊，激活office需要产品密钥，但是找不到
新年快乐 请问win10和win7区别大不
电脑今天连接不上WiFi
你好我笔记本电脑是联想G510的，电脑开机的时候按了开机键，指示灯亮了活很久屏幕才亮，有时候等半个小时都不亮是怎么回事
我的电脑忘记密码了
 拯救者14ISK(PF0ILHVN)  请问有什么需要我帮助的吗？ 请问有什么需要我帮助的吗？ 就是我这电脑盖上盖之后再打开老是唤不醒
有线链接以太网未识别网络 右击联网图标疑难解答提示什么呢？ 以太网没有有效的IP配置
我的电脑屏幕不小心挤破了，能保修吗？
蓝屏报错B7.然后重装win7系统。现在还是不能开机。开机显示lenovo然后就不动了
您好，请问有什么其他的可以帮您？（*∩_∩*） 我原WIN10现在换成WIN7系统无法安装？
我的笔记本开机的时候就闪屏 就一直闪一直闪
G470启动设置里没有u盘开机启动
耳机能出声，，音响不响
我的电脑WiFi改不了密码了 请问您咨询的电脑型号是什么？目前使用的是什么操作系统呢？ 您好 还在吗 您是连接的无线改了密码 ?现在连接没有输入的框吗 我的是Lenovo&amp;#39;H50 圆梦F50 win7 win8 win10什么系统 您方便提供一下主机编号吗?麻烦您了，一般在主机箱的侧面生产日期下方有个S/N号，或者叫做出厂编号，大多是2个英文字母加8个数字构成的，麻烦您了！（*∩_∩*） win10 开始菜单→点开设置→打开网络和internet→选择WLAN→点开下方的管理Wi-Fi设置→在管理已知的网络中找到您需要链接的信号→点击选择忘记→然后重新搜索信号连接看是否正常 编号R3009912 没有管理WiFi 等下 您的这个没有无线网卡 不能使用无限 无线 我自己安装的路由器 可是他改不了密码了
加装一个固态硬盘多钱
触控板不灵敏怎么回事 买上就不好用 官网下载驱动更新了，更不能用了 一卡一卡的 单机都不管用 这机子才刚买没一个月
请问液晶屏坏了怎么修呢？
新年好（*＾-＾*） 我用的小新air pro 电脑目前遇到什么问题了吗 刚刚蓝牙鼠标突然断了 主机编号： MP14AEBC主机名称： LenovoXiaoXinAir13Pro ? 您目前是使用的这个机器吗 然后我更新了一下蓝牙驱动，关闭了蓝牙打算重新开启，结果设备管理器那里都找不到蓝牙了 是的，这个机器 您好，桌面的右下角是否有蓝牙的图标呢？ 没有了/:: 都没有了 蓝牙鼠标键盘全部不工作 而且设备管理器没了蓝牙
我刚才QQ 删不了    登不上去  现在能了   我安装新的就会把旧的覆盖是不是？
我想win7 是要改装win7吗 不是，我想要win7的系统
我wifi总是没有信号
电脑上只有型号，没有主机编号 主机编号： R90J9YMJ主机名称： LenovoS41-35SICA874104G50010H 请问是这台电脑么 嗯嗯，应该是的 问一下它最初出厂的Windows是哪个版本
"你好,一键恢复后,win10自动更新吗"
 Lenovo G510(CB32843461) 这个机器吗 嗯 我在使用ps 的时候，给图片加滤镜然后就崩了 显卡崩了  重启然后就又好了
"由于长时间没有收到您的回复,系统将结束本次会话,请您在方便时直接回复数字0尽快联系我，以便及时协助您判断电脑问题，不管任何情况我都会尽力的帮您哦，我们的工作时间是9:00-21:00。 0 您好，请您提供一下电脑的主机编号，主机编号是SN编号，在笔记本的背面或者电池槽中，台式机在在主机侧面的标签上有个出厂编号，我帮您核实一下详细信息，以便更好的帮助您（*∩_∩*） PFOPD8T3 XiaoXin310的笔记本吗 是的 请问您电脑使用过程中遇到什么问题了呢？有什么我能帮助您的吗？ 能放CD吗？"
电脑文件需要提供管理员权限才能删除
IdeaPad S405 我想扩展内存和ssd http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjhN_RyxhkwGJL9HYnzh9Huw/3087833_175496_1485943972.jpg 请问支持内存最大频率是多大？
您好，咱电脑的主机编号是否是YD01WF14，型号是否是XiaoXinAir12呢(^_^)？ 是，它的windows10打不开 激活不了
key 可以电话么 电脑问题有点严重 屏幕老是抖屏
笔记本开不了机了 新的 小新710 无法开机 就是一片黑屏的状态 还是说有鼠标光标呢？ 电池没电，插上电源开机了，还没有进入主界面就关机了，再开机开不了啊 一片黑屏
的的平板电脑软件什么的都没了 系统防火墙也打不开 请问怎么解决
触摸板驱动安装不上
电脑密码忘记
重新装系统
我的电脑开机密码忘记了有什么办法吗
电脑卡或反应慢咋办
电脑不好用 请问您的电脑是什么型号的？ 出现什么问题了呢 想送到维修站，现在上班吗？联想台式
我电脑现在没有声音了，之前是开机后没有声音的话重启下就有了，现在却不行了
台式电脑联想圆梦话筒和电脑音乐不同步？ 您好， 您机器是 ? ? 圆梦.f 5005 ? 这个型号？ http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjp2jk8hpOdo8_I8Sovhhcl8/3088419_653419_1485950746.jpg 您是自己购买外接话筒？ 对网上买的用手机能K歌的那一种 这个我们就不清楚 需要咨询卖家 看看这个话筒是否需要什么软件才是可以和音乐同步 在专买店买的 您有现场测试是否正常的？ 把24位调到16位能强一点但效果不好 说话声正常 就是k歌声和电脑上的音不同步感觉能慢二三秒
请问您的电脑是什么型号的？ 联想小新v4000 您的电脑现在使用的是什么操作系统呢？ 开机后屏幕一闪一闪的，什么原因
山西吕梁交城售后电话
hello 新您好 什么鬼 有什么可以帮助您的呢？ 那您请说 帮我发个工具 哪个工具呢？ 清理垃圾的
用光盘安装程序出现解压缩错误是什么原因
联想小新i2000 win7 64位 亮度无法调节 控制面板下调节也不行？ 调节只有最亮最暗
你好，我想升级内存卡
联想G50-75亮度调节不上去请问是什么情况
您好，有什么能够帮助您的？ 我把原来电脑上的硬盘替换下来如何作为移动硬盘使用
我的机器码CB25125309 嗯嗯 ~咱们现在是遇到什么问题的呢 昨天擦了一下，后来触摸板不能用了
笔记本电脑开不了机怎么办 请问您咨询的电脑型号是什么？目前使用的是什么操作系统呢？ Lenovo.  ideapad.   300-15ISK 是一开机屏幕就没有任何显示，还是屏幕上会有反应但是无法进入系统呢？如果有反应的话，您看见了lenovo或者windiws的图标了吗？ 按开机键直接没反应 充电时指示灯也不见
小新700，电源指示灯原来是白色的，现在不论充电状态还是电池状态都是红色的，这是什么情况？  LenovoXiaoXin700-15ISK(R90KESYD http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjt6sl1iJTSD_GJ4OfigUB7o/3086361_65139_1485926987.jpg 屏幕电量显示为97%
充电需要多长时间 拯救者的 亲  您的意思是拯救者充满电池的时间需要多长时间是么 是的
笔记本怎么装系统 开机选择什么 您好，您电脑目前什么问题，要装win几的系统，电脑目前是win几的系统，装系统用的什么工具，系统镜像从哪里下载的什么版本 win8换成7
你好，我想问问我的电脑怎么没办法输入中文了，只能输入英文，角落显示是中文了，也打不出中文
我的笔记本想系统恢复这
您好，咱电脑的主机编号是否是CB35536648，型号是否是Y50p-70呢(^_^)？ 不是  另一个联想笔记本  我想升级到w10
1 9为什么刚买的电脑开机要很久 要一分多钟
我想买个4000左右的电脑 能推荐个嘛
我的电脑识别不了移动硬盘 bios可以识别
麻烦帮我查一下我买的主机是否是真品
我的联想笔记本盖子盖不严
我这是think pad
"电脑开机后一直显示lenovo,"
我有时可以进BIOS，多数都进不了，到底是按哪个键/::
我的电脑没声音 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjsD8p6fn-HyA1iikHkX3JOo/3087865_65056_1485944374.jpg 视频都没有声音 是怎么回事？  Lenovo S40-70(MP06DQC5) 这个机器吗 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjsD8p6fn-HyA1iikHkX3JOo/3087865_65056_1485944565.jpg 应该是吧  外放音乐有声音吗 都没有 耳机，外放都没声音
你好，我想问下，我的笔记本是m495，重装系统后，无线网络就打不开了
是要咨询您绑定的 ： Lenovo G5050(BS03155386) 的机器是吗 是的 您的电脑现在使用的是什么操作系统呢？ 显示W7副本不是正版啥意思啊，刚回家开电脑就这么显示
我电脑开机后屏幕一直闪烁 怎么解决 请问您电脑是什么型号的？ 电脑使用的是什么操作系统呢？ 是win10系统么？ 我对电脑不熟悉。这电脑买了半年不到，当时告诉我是新出的款 也没怎么用过。最近看了几次电脑就这样了。视频能看到吗 抱歉  视频这边目前收不到的，这边只能看到照片 那我这种情况自己能解决吗 还是得拿去维修 开机后屏幕一直闪烁，是进入系统桌面之后才闪烁么？还是一开机 联想标志一出现就开始闪烁的？ 是到桌面闪烁 桌面的界面一直闪烁，电脑鼠标动不了
我电脑，显示在充电，但是充不起 主机编号： R90K335P主机名称： LenovoS41-70SIXI55257U4G128G10H 请问是这台电脑么 电池电量是多少呢 对头 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjkBKveeWQ2tvdxkR-hxgLc4/3086656_1086973_1485930001.jpg 反正一直在这个值 昨天在75 每天都要降点
office我已经弄了好几次了，现在还不行

下载路径可以变么 下载文件现在都是直接跳到此电脑下载那里面
电脑老死机怎么回事 恢复出厂设置也不行
我的电脑特别热 玩10分钟就超级热
B520e功耗多少
产品密钥在那里 请您提供一下电脑的主机编号，笔记本主机编号是S/N后面的编号，由两位字母+8位数字组成的，一般在电脑背部或者电池槽中，我帮您核实一下详细信息，以便更好的帮助您（*∩_∩*） http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjsaP6dlBtxqLZAqE6x7H7LY/3088411_65056_1485950874.jpg 核实一下吧 刚刚拍的  机器预装系统是联网自动激活的  不需要手动输入秘钥的 我换系统了 别人帮按的 激活要
想问下 您请问 这个怎么进bios
您好，咱电脑的主机编号是否是MP15V2V6，型号是否是ideaPad500呢(^_^)？ 电脑在开机时出现登录页面时就卡在那里不动了
你好，我的电脑坏了需要维修，请问联想3C服务中心松乐路店今天营业么？打电话没人接
键盘经常暂时性失灵，强制关机后又有用了
玩游戏时画面不流畅，要怎么办
我刚买的电脑出现漏电情况
S410键盘实效了
我的笔记本连接无线网后，无线网经常断网，连接时间一分钟不到就掉了
"fn+f12进入boot manager,仅仅windows启动和网络启动，没有usb启动 e440"
G460网络已连接，但网页打不开/:@)/:@)
我的笔记本电脑开机非常卡
电量消耗的特别快，才用了十分钟。就消耗10%
新圆梦F358 (NS14004187) 是您的电脑么 亲  具体是遇到什么问题了呢  麻烦您详细描述下哦 我想给这个电脑换个amdx4 945的cpu 主板可以吗 95w功耗的
您好，咱电脑的主机编号是否是LR052WZU，型号是否是V310呢(^_^)？ 鼠标插入后找不到驱动
电脑正常关机后，第二天早上无法开机，显示屏黑，电源键亮。什么原因？
在不  亲 新年快乐的哦   有什么可以帮您的呢 驱动问题 联想  G480的键盘驱动 键盘都无法使用了？ 请问咱们的电脑目前使用的是什么操作系统呢？是多少位的呢？ win  7   32位重装系统后，键盘驱动不合适 按键对不上 这是比较老的机型 http://t.lenovo.cn/qd3VvCveu  联想驱动管理工具 这个您下载扫描更新下驱动的亲 之前扫描过了 没有要更新的 你们能不能提供给我们，这个驱动 键盘的话 是没有单独的驱动的哦亲 http://t.lenovo.cn/ueYzUvL 这几个驱动您可以下载安装下的 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjhQjdqhbyxk52usEBpM_Jew/3087071_1088671_1485935498.jpg 按Fn才能打出这几个带数字的字母
"哦好 电脑开机登录完之后就是老闪
"
点了重启 然后蓝牌 蓝屏了
有个不懂的小问题 笔记本开机密码怎么取消掉
问一下我电脑USB有问题…然后今天你们的人来换了主板，然后还是这样…请问是什么问题 卡………玩游戏有时候移不动鼠标 突然就失控
office激活 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjjgyZPMLo5rYWZd4MNKAkvs/3088375_65288_1485950144.jpg 一直跳出这个怎么办？ R90MKXUQ 这个机器么 美女，这个怎么破 联想小新700 是第一次激活office么
如何关闭自动更新
恢复出厂设置怎么弄？
我的电脑型号是H5050 现在过了保修期，想换一个显卡 麻烦您查询一下所咨询电脑的主机编号，这样我们能更清楚您电脑的情况， 台式机的主机编号一般在 ?主机右侧 ?的标签上，写的出厂编号或者主机编号的字样 请问这种品牌机对换显卡有什么要求吗
请问一我的电脑开机出现logo的时候会一闪一闪的是怎么了？ 进入系统以后也是闪烁么？ 没有啊，就出现了logo后面闪几下
前两天我用系统的恢复把系统重新恢复出厂设置了 结果现在不能用 在联想售后安装win10大概多少钱 重装win10
您好~ 请问您电脑使用过程中遇到什么问题了呢？  我为什么使用不了360wifi 不能开启wifi
我想问联想系统的在哪下
我这电脑太慢了怎么办 新买的基本不用
台式机 主机编号您提供我下 机箱左右 我的一体机电脑用hdmi连接电视盒子后切换不过来了
你好/::) 您好！有什么可以帮您？ 电脑遇到蓝屏了。华擎的主板能帮忙解决一下吗？
您好，咱电脑的主机编号是否是M701N4X8，型号是否是H3050呢(^_^)？   嗯 3请问您电脑使用过程中遇到什么问题了呢？有什么我能帮助您的吗？   就是为什么玩游戏老是卡 不流畅   SPF的显示最高才22
电脑下载的视频看不了怎么办？ 电脑显示视频文件损坏或格式不支持
下载的软件在桌面上显示不出来
在 我的笔记本开机输入密码  笔记本键盘不能打字 win10 好的亲，帮我查询一下电脑的主机编号，麻烦您了哦，一般在电脑背面生产日期的下方，S/N后面的一串编码，我查询下电脑的信息看怎么更好的帮您处理咱们遇到的问题( ^_^ )。 亲在这个 开机输入密码的界面下，点击右下角的 重启 ，重启之后，是否有效呢 r90lm3cw 不管用 还是不行 嗯嗯，亲什么有外接的键盘吗？(*^_^*) 有 我用了还是不行
"
我的屏幕  怎么回事 联想拯救者 开机一闪一闪 当前是什么系统呢亲。 10 　麻烦亲“右击”左下角开始菜单——设备管理器 　麻烦亲进入这里我看下哦亲 鼠标点没用 什么程序都打不开 除了任务管理器"
为啥开机后总是闪屏
电脑启动后一直闪屏
我要报修 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjllwJxa5tcTT066B1TufRZU/3088161_1086973_1485947477.jpg http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjllwJxa5tcTT066B1TufRZU/3088161_1086973_1485947511.jpg 我要报修 请问您的电脑具体出现什么问题呢 充电器充不了电 现在电池电量是多少呢 之前还有10但是充不了 现在没有电了
请问您的电脑是什么型号的？ 我的电脑开机慢
ideapad310S-14IKB关机后按回车键为什么屏幕显示电池电量画面
新买的电脑，office怎么不能激活
G510的本，拿回老家，回来后发现无法连接无线网络了 移动中心也没有无线网图标
我的新笔记本电脑开不了机了 机器是什么型号的呢？ 电源灯一闪一亮的 710s
我电脑蓝屏了
我电脑开机有影像后黑屏
我电脑总是卡键盘鼠标是怎么回事 就是键盘鼠标一下子失灵了
使用电脑自带的windows诊断内存工具会不会影响电脑的正常使用，或者对电脑的寿命有关系，诊断过程中我取消了诊断
您好，我是联想在线工程师彭琦钧，请问有什么可以帮您？O(∩_∩)O~~~ 请问下我的电脑掉电很快是什么原因了
我问一下 什么问题呢 700-15的安全插孔咋用 还有这款机子是不是只有耳机插孔，没有麦克插孔
我一键恢复之后，电脑很卡，程序都会卡无响应
请问您的电脑是什么型号的？ 联想ideapad710s 带的office激活不了 提示序列号激活次数达最大值
win10应用商店下载付费的应用 有什么问题吗 显示无法连接到网络
在吗 ： ideapad310S-15IKB(MP16UA34)  这个机器吗 我联想aio700 office2016激活  http://t.lenovo.cn/CzGbeu 激活到最后一步 联机兑换  后面没有了
电脑点击任务栏或者浏览器搜索栏的时候会切换输入法，点击桌面后有切换回去了，请问是怎么回事？
机箱左右 主机编号您提供我下 等下我看看 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjghpIC7tw4bHAWp1Mz94aiA/3085529_65139_1485911822.jpg 这个是吗 NS1738859 NS16738859 扬天T2900D 请问有什么需要我帮助的吗？ 现在开机慢，运行卡，慢，用电脑管家经常八九十
买了固态硬盘 怎么安装啊
你 请问有什么可以帮您的 我的电脑玩游戏时总是很卡
我电脑CPU可以换吗 台式的
http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjtu_jyYXlvSfZ-MfRxVZSpU/3086683_65116_1485930385.jpg 您好，请您提供一下电脑的主机编号，主机编号是SN编号，在笔记本的背面或者电池槽中，台式机在在主机侧面的标签上有个出厂编号，我帮您核实一下详细信息，以便更好的帮助您（*∩_∩*） 怎么将usb移至第一位 您方便提供一下遇到问题的电脑主机编号吗？以便我为您查询电脑的相关信息 pf0dfd5u 怎么将usb移至第一位怎么将usb移至第一位 您是想要安装WIN7系统吗
我这个台式电脑适合安装一个什么样的固盘？
为什么电脑开机后不停闪屏？
电脑开机调不了亮度
请问您，win 10系统的电脑一般开机需要多久， 您好，请您提供一下电脑的主机编号，主机编号是SN编号，在笔记本的背面或者电池槽中，台式机在在主机侧面的标签上有个出厂编号，我帮您核实一下详细信息，以便更好的帮助您（*∩_∩*） WIN10开机一般是在30秒左右 理想y 700 15isk  好的，WIN10开机一般是在30秒左右 那开机一分多钟是怎么回事呢？
请问笔记本不显示无线网了怎么回事？现在就像台式机一样
http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjs7zErpukr4oTxd8PHjvLvc/3087198_1088671_1485936001.jpg  亲 新年快乐的哦   有什么可以帮您的呢 我好像不小心把显卡驱动给删除
开机进入桌面后屏幕闪烁
台式电脑开机需要产品密钥
联想3c店 嗯 请问您电脑使用过程中遇到什么问题了呢？  是不是所有的联想3c店都是统一放假？ 也不是，有一线城市的售后服务站 现在是开门了，县城一类的话，现在还在休息 最迟啥时候开门？
请问您的电脑是什么型号的？ 拯救者i5 昨天刚买回来的 按照说明装机完成，在开机然后屏幕闪屏
无线网络开启不了
笔记本电脑WiFi连不上
你好 我想问一下为什么我的桌面图标周围有虚线框
你好，我的电脑这几天排风扇处总是出很大的响声，怎么回事呀
我想问下为什么笔记本开机后一直闪后又黑屏 然鹅我才用了两个月。。。
无法使用鼠标退出浏览器 这是刚买的电脑，为什么会这样
怎么连接无线网 麻烦您查询一下所咨询电脑的主机编号，笔记本的话一般在电脑背面生产日期下方有个S/N号，大多是英文字母加数字构成的，麻烦您了（*∩_∩*） 我查了的    可以连接 我朋友和我一样的型号    他可以连接  我的不可以
电脑连不上网 偶尔自己行了，偶尔已关机再开机就又连不上
你好，我的联想小昕笔记本白色的，漆掉了，怎么办啊
为什么有的字变成长方形了 ？？您拍照发来那情况我看看可以么 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjl1w64QZ0pEENPxKQiheV0E/3086893_65100_1485932891.jpg 变成 口了 乱码 是啊
word显示只对当前文件有效 怎么办
我的amd显卡控制中心没了
 联想yoga 710  WiFi不见了  
是要咨询您绑定的  拯救者15ISK(PF0JE9T8) 的机器是吗 是的 麻烦您描述一下电脑当前的问题现象好吗？ 问题大了 您说一下问题 我正用了突然就关机了。关机后就再也打不开了 电脑有电
自动更新后在开机黑屏 亲 您先别着急[拥抱] 咱机器是什么型号的呢？ ideapad 500-15ACZ 咱们现在的界面 麻烦您拍个照我帮您看看呢 那个黑屏2秒左右又恢复正常，睡眠再打开也是这样 鼠标可以用， 有光标
请问下我的电脑是小新air12 什么问题呢 那个usb借接口有个ss是啥子意思啊 只有两个接口。有什么不同啊
1 新年好（*＾-＾*） 您的电脑目前是遇到什么问题了吗（*＾-＾*） 屏幕太暗 一键还原在哪？ 联想erazer z400 屏幕太暗怎么调？
笔记本系统更新c盘都快满了怎么处理啊
请问华强北的售后地址在哪里
我买的Ideapad300s为什么装不了office2010/::&amp;#39;(
我想加个内存条
你好，系统一键恢复后office无法激活，说已达到最大激活次数
我的电脑不断出现黑屏。  拯救者14ISK(PF0ML14F)  这个机器吗 一片黑屏的状态 还是说有鼠标光标呢？ 亲 咱们在此之前有做过什么特别的操作吗？ 一片黑屏 拔掉电脑的充电器，鼠标和所有的USB设备 然后一直按住开机键  直到电脑的所以灯都灭的      然后在等一分钟在开机试试的亲 并没有 试过了 成功开启之后 使用过程中 电脑稍微晃动就会黑屏。 怎么办
你好，我我电脑联想G480电脑，运存2G。买了差不多三年，一直没用，现在拿出来用，感觉好看，怎么办
在吗 您好，有什么可以帮您？ 我想看看我的这台电脑现在的官网报价
你好，我的笔记本电脑光盘驱动不能用 也不知道怎么弄 您好，请您提供一下电脑的主机编号，主机编号是SN编号，在笔记本的背面或者电池槽中，台式机在在主机侧面的标签上有个出厂编号，我帮您核实一下详细信息，以便更好的帮助您（*∩_∩*） 好的，麻烦您了 CB26698313 是这个吧？ 是的 您的问题是光盘无法使用吗 光盘上进去，也读出来了但是打不开
http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjrl0mtNrAZY0Ph2iHSPUDdI/3087313_649186_1485937521.jpg 电脑连不上网了
win10无法启动进入桌面，用一键恢复也不行
我新买了联想310S电脑 预装win10可以换装win7吗
小新700的SSD接口。长什么样子呢
怎样取消登录密码 微软
我在安装cad2006 但是安不了
我的机子型号是H5005 原来是通过有线上网，今天调成了WIFI上网 上午还可以，今天下午就不行了
是要咨询您绑定的  LenovoTianYi100-14IBD(PF9003D4) 的机器是吗 我想问一下我电脑U口没反应了怎么操作 我不知道服务处现在是否上班
我的拯救者加装固态硬盘，去售后把系统一键恢复迁移过去要钱吗？
新买的台式机，激活不了office
http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjrBFjRgTl3CJAcilnT-MGhw/3085914_65139_1485921102.mp3&amp;&amp;我这个宽带连不上wifi那个标志就没有这个人哪管什么呀是。 笔记本背面有一个S/N号码 您提供我下 抱歉，我们这里是电脑上的平台，线端的语音识别不是特别准确呢，可以支持文字和图片的，方便的话您打字描述一下您遇到的问题呢，或者还可以拍图哦，给您添麻烦了 我的笔记本联不上网
问题是 您好，请您提供一下电脑的主机编号，主机编号是SN编号，在笔记本的背面或者电池槽中，台式机在在主机侧面的标签上有个出厂编号，我帮您核实一下详细信息，以便更好的帮助您（*∩_∩*） 那下午吧，在外面呢 好的，您的电脑是什么型号的呢 联想G50 请问您电脑使用过程中遇到什么问题了呢？有什么我能帮助您的吗？ 主要问题是冲不上电 开不了机 您好，是一开机屏幕没有任何显示，还是屏幕上会有反应但是无法进入系统呢？ 买了新的联想充电器也不行 第一种 您的问题是开机不通电 吗 直接开不了 也冲不上电 买了新的也不行
win10企业版秘药有吗
电源线插上了，电脑没有反应 咱机器是什么型号的呢？ 无法开机 就是一片黑屏的状态 还是说有鼠标光标呢？ 电脑上的电源指示灯不亮
我要重装系统
我的是联想G50_70不仅玩游戏卡，干什么都卡怎么办
我新买的笔记本，怎么开独显？
我的电脑更新总是不行
您好，咱电脑的主机编号是否是MP06Y91U，型号是否是Y40-80呢(^_^)？ 是的 请问您电脑使用过程中遇到什么问题了呢？有什么我能帮助您的吗？ 电脑装系统装坏了 U盘启动不了
我想把电脑硬盘换成固态硬盘 机械硬盘 换固态
我想升级bios
我电脑一直响是什么原因 请问您的电脑是什么型号的？  很大的异响吗 b470    是风扇导致出来的声音吗 不是很大，但比之前的有点大 我也不知道，感觉应该是风扇
我的电脑弄过系统重置，然后开机的时候只能用微软密码登陆，不可以用PIN码登陆
win10完美适配Y470了嘛
不在了吗 在的 您说 联想有没系统U盘卖
